Voltage,Current,Power
0.564,0.644,0.363216
0.511,2.415,1.234065
0.552,1.874,1.0344480000000003
0.588,1.942,1.1418959999999998
0.534,2.383,1.2725220000000002
0.56,0.637,0.35672000000000004
0.503,2.408,1.2112239999999999
0.522,2.177,1.1363940000000001
0.565,2.13,1.20345
0.546,2.281,1.2454260000000001
0.547,2.328,1.273416
0.56,1.967,1.10152
0.517,1.771,0.915607
0.55,2.045,1.1247500000000001
0.532,0.658,0.35005600000000003
0.507116,2.1246124999999996,1.07742499255
0.539,2.015,1.0860850000000002
0.533,2.307,1.2296310000000001
0.575,2.303,1.3242249999999998
0.571,2.312,1.3201519999999998
0.564,2.241,1.263924
0.541,1.985,1.0738850000000002
0.553,2.198,1.215494
0.547,2.269,1.241143
0.551,2.3,1.2673
0.566,2.066,1.1693559999999998
0.564,2.192,1.236288
0.576,0.5780000000000001,0.332928
0.545,2.23,1.2153500000000002
0.555,2.235,1.240425
0.557,2.363,1.316191
0.524,2.324,1.217776
0.564,1.8565,1.0470659999999998
0.57,2.315,1.3195499999999998
0.505409,2.306309090909091,1.1656293713272727
0.534,2.389,1.275726
0.544,2.14,1.16416
0.563,2.091,1.177233
0.523,2.319,1.212837
0.554,2.319,1.284726
0.563,0.591,0.33273299999999995
0.521,2.224,1.1587040000000002
0.591,2.092,1.236372
0.515652,2.1844749999999995,1.1264289026999998
0.547,2.125,1.1623750000000002
0.567,1.968,1.115856
0.537,2.098,1.126626
0.591,1.978,1.168998
0.53,2.243,1.18879
0.582,1.962,1.141884
0.543,2.323,1.261389
0.51,0.639,0.32589
0.536,2.358,1.2638880000000001
0.567,1.926,1.092042
0.536,2.387,1.2794320000000001
0.523,2.225,1.163675
0.53,2.358,1.24974
0.573,0.566,0.32431799999999994
0.554,2.112,1.1700480000000002
0.582,2.149,1.250718
0.527,2.337,1.231599
0.51,2.082,1.06182
0.576,2.094,1.2061439999999999
0.545,2.261,1.2322450000000003
0.587,1.982,1.1634339999999999
0.505409,2.2083538461538454,1.1161219090307688
0.536,1.835,0.98356
0.607,2.0,1.214
0.522,2.169,1.1322180000000002
0.562,2.254,1.2667480000000002
0.456,2.445,1.11492
0.537,2.076,1.1148120000000001
0.524,2.07,1.0846799999999999
0.496,2.188,1.085248
0.556,2.262,1.2576720000000001
0.59,0.543,0.32037
0.557,2.351,1.3095070000000002
0.561,2.231,1.2515910000000001
0.488,2.162,1.055056
0.584,2.123,1.239832
0.539,2.38,1.28282
0.508823,2.32212,1.18154806476
0.579,2.006,1.161474
0.503702,2.305753846153846,1.1614128238153845
0.559,2.2115,1.2362285000000002
0.544,2.044,1.111936
0.494,2.34,1.1559599999999999
0.49858,2.270577777777778,1.1320646684444446
0.515652,2.0874636363636365,1.076404799018182
0.565,1.982,1.1198299999999999
0.579,2.2005,1.2740894999999999
0.461,0.686,0.316246
0.519066,2.2570769230769234,1.1715718901538463
0.501995,2.210747826086956,1.1097843549565216
0.541,2.309,1.2491690000000002
0.536,2.008,1.0762880000000001
0.574,2.153,1.235822
0.521,2.284,1.189964
0.54,2.368,1.27872
0.499,0.621,0.309879
0.559,2.335,1.3052650000000001
0.477,2.144,1.022688
0.576,0.632,0.36403199999999997
0.529,2.3,1.2167
0.552,2.405,1.32756
0.569,1.945,1.1067049999999998
0.505409,2.1705520000000003,1.097016515768
0.535,2.28,1.2198
0.535,2.019,1.080165
0.48663,2.2088260869565217,1.0748810386956522
0.55,1.959,1.07745
0.546,0.6,0.3276
0.529,2.214,1.171206
0.573,2.233,1.279509
0.51053,2.1580969696969694,1.1017732459393939
0.515652,2.0669555555555554,1.0658297661333334
0.534,2.386,1.274124
0.490045,2.2115333333333336,1.0837508523333335
0.513945,2.1469357142857137,1.103406875678571
0.536,2.356,1.262816
0.511,2.18,1.1139800000000002
0.559,2.309,1.2907310000000003
0.543,2.043,1.1093490000000001
0.568,1.955,1.1104399999999999
0.549,0.619,0.33983100000000005
0.523,2.35,1.2290500000000002
0.502,2.101,1.054702
0.548,2.365,1.2960200000000002
0.488337,2.2252736842105265,1.086683475126316
0.527602,2.23216,1.17769208032
0.568,2.291,1.3012879999999998
0.558,2.215,1.23597
0.496873,2.1500444444444446,1.0682990332444446
0.563,2.158,1.2149539999999999
0.484923,2.2585846153846156,1.095239627446154
0.579,1.999,1.157421
0.572,2.287,1.3081639999999999
0.57,0.565,0.32204999999999995
0.542,2.39,1.2953800000000002
0.56,2.284,1.27904
